,CATEGORY,SECTION,REGION,NAME,SCORE,SCORE_REVIEW,REVIEW,LINK,ADDRESS,lat,lng,IMG
18,FOOD,A,제주시,ABC베이커리,4.1,48건,25,https://place.map.kakao.com/2086134863,"
제주특별자치도 제주시 탑동로 11
(지번) 삼도이동 1192-17
",33.5169485,126.5234344,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB879C6DBEBC24EA08CC352E0E42FF287
19,FOOD,A,제주시,늘소담,3.9,29건,159,https://place.map.kakao.com/66426839,"
제주특별자치도 제주시 탑동로 31-3
(지번) 삼도이동 1192-12
",33.5174322,126.5215039,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F3D23A464F42E44998FECAAEDB85A2A46
20,FOOD,A,제주시,고미미,4.6,20건,34,https://place.map.kakao.com/1961444877,"
제주특별자치도 제주시 북성로 67
(지번) 삼도이동 1158-40
",33.515311,126.5177481,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAE31A589EC604785B0CAE3D3DD4E11E4
21,FOOD,A,제주시,요술식탁,4.2,42건,76,https://place.map.kakao.com/2031527473,"
제주특별자치도 제주시 관덕로6길 10
(지번) 삼도이동 62-2
",33.5121052,126.521912,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD3FB0ABD28754EE8BF0C12AD34951B6C
22,FOOD,A,제주시,제주맑음,3.9,22건,78,https://place.map.kakao.com/459499800,"
제주특별자치도 제주시 관덕로3길 1-1
(지번) 삼도이동 986-3
",33.5134302,126.5210586,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F47FE01C8C43340DD9625F6178F6DF3EB
23,FOOD,A,제주시,모찌롱,4.2,13건,78,https://place.map.kakao.com/1050221982,"
제주특별자치도 제주시 관덕로6길 10 1층
(지번) 삼도이동 62-2
",33.5121052,126.521912,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA3001EE1AD9D4C9BB9E4E162C9BAA24C
24,FOOD,A,제주시,리듬앤브루스,4.0,38건,49,https://place.map.kakao.com/427669200,"
제주특별자치도 제주시 무근성7길 11
(지번) 삼도이동 1073
",33.5138019,126.5198694,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0A406FA8EDE6404AB31353349E8D9026
25,FOOD,A,제주시,제주흑돼지마씸,4.2,18건,20,https://place.map.kakao.com/1307166311,"
제주특별자치도 제주시 탑동로 18
(지번) 삼도이동 1261-19
",33.5174298,126.522971,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0F4347A2A7314068BB6AC6F6FC91B4F4
26,FOOD,A,제주시,순아,4.9,32건,26,https://place.map.kakao.com/440194716,"
제주특별자치도 제주시 관덕로 32-1 1,2층
(지번) 삼도이동 72-3
",33.5130604,126.5227848,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD303CD3401F54C939E43A901AD37AE88
27,FOOD,A,제주시,에이팩토리 베이커리카페,3.9,21건,48,https://place.map.kakao.com/26098534,"
제주특별자치도 제주시 탑동로 11 1층
(지번) 삼도이동 1192-17
",33.5169485,126.5234344,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB216801D71564ED4B851A76325AB1A0E
28,FOOD,A,제주시,레이어스 베이크하우스,4.8,17건,42,https://place.map.kakao.com/1853743411,"
제주특별자치도 제주시 무근성7길 25 1층
(지번) 삼도이동 1112-5
",33.5143708,126.5206029,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_658815474
29,FOOD,A,제주시,제주보말칼국수,4.8,39건,44,https://place.map.kakao.com/439308243,"
제주특별자치도 제주시 관덕로8길 40
(지번) 삼도이동 186-4
",33.5099706,126.5233033,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFE21B37BF961402C8856BD740A0B4749
30,FOOD,A,제주시,산호전복,3.5,29건,24,https://place.map.kakao.com/8559443,"
제주특별자치도 제주시 탑동로 59
(지번) 삼도이동 1206
",33.5180133,126.5186772,0
31,FOOD,A,제주시,국수마씸,4.0,28건,23,https://place.map.kakao.com/22538437,"
제주특별자치도 제주시 관덕로2길 24 1층
(지번) 삼도이동 830-14
",33.510963,126.5210123,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5056C94FCFD545B788D43281C6636B40
32,FOOD,A,제주시,카페송키,4.4,24건,35,https://place.map.kakao.com/1883569834,"
제주특별자치도 제주시 무근성안길 16 1층
(지번) 삼도이동 1120-2
",33.5151147,126.520256,http://t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F383D18261AD54F428DC67602EB8AF41C
